,ingredients
0,abricot
1,agneau
2,ail
3,airelle
4,algue
5,amande
6,ananas
7,anchois
8,aneth
9,anguille
10,armagnac
11,artichaut
12,asperge
13,aubergine
14,autruche
15,avocat
16,bacon
17,baguette
18,banane
19,bar
20,basilic
21,batavia
22,beaufort
23,bechamel
24,betterave
25,beurre
26,biere
27,biscotte
28,biscuit
29,ble
30,blette
31,bleu
32,boeuf
33,bonbon
34,boudin
35,bouquet garni
36,bourbon
37,boursin
38,brandy
39,brioche
40,brocoli
41,cabillaud
42,cacahuete
43,cacao
44,cafe
45,caille
46,calamar
47,calvados
48,camembert
49,canard
50,cannelle
51,cantal
52,capre
53,caramel
54,carotte
55,carpe
56,cassis
57,celeri
58,cepe
59,cerfeuil
60,cerise
61,champagne
62,champignon
63,chanterelle
64,chapon
65,chataigne
66,chevre
67,chocolat
68,chorizo
69,chou
70,chou-fleur
71,ciboulette
72,cidre
73,citron
74,citrouille
75,clementine
76,clou de girofle
77,coca-cola
78,coeur de palmier
79,cognac
80,coing
81,cointreau
82,colin
83,compote
84,comte
85,concombre
86,confiture
87,coquelet
88,coquille Saint-Jacques
89,coquillettes
90,coriandre
91,corn flakes
92,cornichon
93,courge
94,courgette
95,couscous
96,crabe
97,creme fraiche
98,crepe
99,cresson
100,crevette
101,crosne
102,crottin de chevre
103,cumin
104,curcuma
105,curry
106,datte
107,daurade
108,dinde
109,eau de vie
110,echalote
111,emmental
112,endive
113,epinards
114,escalope
115,escargot
116,estragon
117,farine
118,fenouil
119,feta
120,feuille de brick
121,feve
122,figue
123,foie gras
124,fraise
125,framboise
126,fromage
127,fromage blanc
128,fruit de la passion
129,fruits de mer
130,gamba
131,gibier
132,gigot
133,gin
134,gingembre
135,girolle
136,glace
137,goyave
138,grand marnier
139,grenadine
140,grenouille
141,griotte au sirop
142,groseille
143,gruyere
144,haddock
145,hareng
146,haricot
147,harissa
148,homard
149,huitre
150,jambon
151,jambonneau
152,jus
153,kiwi
154,lait
155,lait de coco
156,laitue
157,langouste
158,langoustine
159,lapin
160,lard
161,lardon
162,lasagne
163,laurier
164,lentille
165,lieu
166,lievre
167,limonade
168,liqueur
169,litchi
170,lotte
171,loup
172,macaron
173,macaroni
174,mache
175,magret
176,mais
177,malibu
178,mangue
179,maquereau
180,marron
181,marshmallow
182,martini
183,melon
184,menthe
185,merguez
186,merlan
187,merlu
188,miel
189,mirabelle
190,morue
191,moules
192,mouton
193,mozzarella
194,munster
195,mure
196,muscade
197,myrtille
198,navet
199,nectar
200,noisette
201,noix
202,noix de cajou
203,noix de coco
204,nougat
205,oeuf
206,oie
207,oignon
208,olive
209,orange
210,origan
211,oseille
212,pain
213,pamplemousse
214,papaye
215,paprika
216,parmesan
217,pastis
218,pate
219,pates
220,peche
221,persil
222,petit suisse
223,petits pois
224,pigeon
225,pignon
226,piment
227,pineau
228,Pintade
229,poire
230,poireau
231,pois
232,poisson
233,poitrine fumee
234,poivron
235,pomme
236,pomme de terre
237,Porc
238,porto
239,potimarron
240,poulet
241,poulpe
242,pousse de bambou
243,prune
244,pruneau
245,puree
246,radis
247,raie
248,Raisin
249,rascasse
250,ratatouille
251,raviolis
252,reblochon
253,reine claude
254,rhubarbe
255,rhum
256,ricotta
257,risotto
258,riz
259,romarin
260,roquefort
261,rouget
262,rumsteak
263,safran
264,saint-Moret
265,saint-Nectaire
266,sake
267,salade
268,sardine
269,saucisse
270,saucisson
271,saumon
272,seiche
273,semoule
274,sesame
275,soda
276,soja
277,sole
278,sorbet
279,spaghetti
280,speculos
281,steak
282,sucre
283,surimi
284,tagliatelle
285,tapenade
286,tequila
287,the
288,thon
289,thym
290,tofu
291,tomate
292,topinambour
293,tournedos
294,truffe
295,truite
296,turbot
297,vanille
298,veau
299,vermouth
300,viande des grisons
301,vin
302,vodka
303,volaille
304,whisky
305,yaourt
